Unnamed: 0,Player,Age,Team,Pos,Rank,FG,P3
250,Josh Oduro,25,NOP,PF,2,0.647,0.0
251,Malachi Smith,26,BRK,SG,2,0.485,0.435
252,Bradley Beal,32,LAC,SG,3,0.375,0.368
253,LJ Cryer,24,GSW,PG,1,0.402,0.394
254,Ron Holland,20,DET,SF,2,0.432,0.253
255,Chaney Johnson,23,BRK,SF,1,0.543,0.3
256,Jake LaRavia,24,LAL,PF,3,0.459,0.321
257,Luka Garza,27,BOS,C,3,0.577,0.433
258,Bryce McGowens,23,NOP,SG,1,0.481,0.409
259,Mouhamadou Gueye,27,CHI,PF,1,0.545,0.2
260,David Roddy,24,DEN,PF,2,0.5,0.273
261,Bruce Brown,29,DEN,SG,1,0.475,0.385
262,Moussa Diabaté,24,CHO,C,5,0.631,0.5
263,Paul Reed,26,DET,C,1,0.617,0.325
264,Dominick Barlow,22,PHI,PF,4,0.539,0.256
265,Buddy Hield,33,ATL,SG,1,0.437,0.349
266,Ryan Kalkbrenner,24,CHO,C,4,0.753,0.0
267,Jaxson Hayes,25,LAL,C,2,0.756,1.0
268,Ja'Kobe Walter,21,TOR,SG,3,0.446,0.409
269,Jose Alvarado,27,NYK,PG,2,0.416,0.352
270,Bogdan Bogdanović,33,LAC,SG,2,0.388,0.347
271,Cameron Payne,31,PHI,PG,3,0.376,0.33
272,Kris Dunn,31,LAC,PG,1,0.476,0.374
273,Nikola Jović,22,MIA,PF,1,0.366,0.269
274,Grant Williams,27,CHO,PF,3,0.426,0.388
275,Moritz Wagner,28,ORL,C,3,0.426,0.314
276,MarJon Beauchamp,25,PHI,SF,2,0.434,0.34
277,Keon Ellis,26,CLE,SG,2,0.44,0.363
278,Robert Williams,28,POR,C,1,0.708,0.391
279,Jamal Shead,23,TOR,PG,2,0.367,0.321
280,Oso Ighodaro,23,PHO,PF,2,0.653,0.0
281,Luke Kornet,30,SAS,C,2,0.643,
282,Trendon Watford,25,PHI,PF,1,0.515,0.2
283,Jevon Carter,30,ORL,PG,2,0.401,0.363
284,Kyle Anderson,32,MIN,SF,2,0.53,0.364
285,Thomas Bryant,28,CLE,C,1,0.506,0.359
286,Nick Smith Jr.,21,LAL,SG,1,0.435,0.395
287,Gradey Dick,22,TOR,SG,1,0.419,0.301
288,Tidjane Salaün,20,CHO,PF,2,0.503,0.434
289,Goga Bitadze,26,ORL,C,1,0.676,0.182
